"# PDIoT walking data"
"# Start time: 20180921T123824"
"# Group: B"
"# Subject:  Walking for 100 steps"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper Leg"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1537530032938","3051","-0.3515625","0.1015625","-0.39453125","-20.625","16.75","-3.53125"
"1537530032938","3052","-0.5341797","-0.24121094","-0.27148438","-99.25","34.15625","-14.15625"
"1537530032939","3053","-1.0009766","-0.7519531","-0.3017578","-91.3125","7.59375","-13.84375"
"1537530032939","3054","-1.0957031","-1.1621094","-0.5957031","-2.75","25.1875","-8.71875"
"1537530032939","3055","-0.9638672","-0.9794922","-0.4560547","59.6875","2.28125","1.71875"
"1537530033137","3056","-0.78808594","-0.48535156","-0.5371094","51.53125","-4.59375","8.625"
"1537530033138","3057","-0.6152344","0.28027344","-0.41992188","71.125","34.03125","45.625"
"1537530033138","3058","-1.9921875","-0.2919922","-0.4140625","48.84375","41.15625","76.5"
"1537530033138","3059","-1.0224609","-0.5","-0.052734375","68.0625","-25.25","-4.0625"
"1537530033140","3060","-0.42578125","0.9794922","-0.64160156","-60.1875","13.8125","3.1875"
"1537530033336","3061","-0.7402344","0.29101562","-0.70410156","-91.59375","43.0625","58.90625"
"1537530033337","3062","-1.1523438","-0.70703125","-0.5449219","-47.78125","-1.5","40.0"
"1537530033337","3063","-0.8466797","0.080078125","-0.35058594","26.0625","12.96875","57.5"
"1537530033337","3064","-0.77246094","0.24609375","-0.53222656","-4.9375","4.375","47.5625"
"1537530033338","3065","-0.7890625","0.017578125","-0.5917969","-79.65625","-6.9375","34.4375"
"1537530033733","3066","-0.7558594","-0.23144531","-0.54589844","-135.1875","6.0625","9.34375"
"1537530033736","3067","-0.8300781","-0.22949219","-0.54296875","-120.46875","-0.53125","4.96875"
"1537530033736","3068","-0.7949219","-0.2841797","-0.4560547","-60.34375","-11.09375","23.09375"
"1537530033736","3069","-0.8125","-0.27929688","-0.45214844","-14.21875","1.96875","30.40625"
"1537530033736","3070","-0.8544922","-0.06347656","-0.48242188","-15.3125","3.5625","24.75"
"1537530033736","3071","-0.8251953","0.1171875","-0.48632812","-22.03125","-0.53125","36.03125"
"1537530033737","3072","-0.8515625","0.06347656","-0.54003906","-27.8125","4.0","32.625"
"1537530033737","3073","-0.9042969","-0.037109375","-0.55859375","-38.25","0.6875","22.1875"
"1537530033737","3074","-0.9746094","-0.07714844","-0.5341797","-42.53125","-4.25","11.8125"
"1537530034132","3075","-1.1025391","-0.24316406","-0.5332031","-68.0","-38.96875","8.4375"
"1537530034132","3076","-0.9794922","-0.17480469","-0.41015625","-74.28125","-19.25","-41.96875"
"1537530034133","3077","-0.78027344","-0.111328125","-0.42871094","-56.09375","-34.21875","-111.3125"
"1537530034134","3078","-1.2871094","0.21289062","-0.36621094","20.5","-13.15625","-144.625"
"1537530034134","3079","-1.4150391","0.32128906","-0.32910156","10.5625","15.40625","-139.375"
